[3,4,1,1,1,2,3,2,3,3,3,1,1,1,2,4,3,1,3,35.00%
[1,2,2,2,1,2,3,2,3,3,3,2,2,2,2,2,3,3,3,25.00%
[3,2,1,1,2,1,1,2,3,3,3,2,3,2,3,4,4,3,4,50.00%
[3,2,1,1,1,2,3,2,3,3,3,2,3,2,2,4,3,3,3,40.00%
[3,2,1,1,3,2,2,4,3,3,3,2,2,2,4,4,3,2,3,35.00%
[3,3,1,1,1,2,3,2,3,3,3,2,2,2,2,4,4,3,3,45.00%
[1,1,1,1,1,2,3,2,3,3,3,4,2,3,2,4,3,1,4,60.00%
[3,4,1,1,4,2,3,4,3,3,3,4,4,2,1,4,3,4,2,30.00%
[1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4, 4]  94.7368%,
[1,2,1,1,1,2,3,2,1,1,1,4,2,2,2,4,1,1,3,35.00%
[2,3,1,1,1,2,3,2,3,3,3,2,3,4,2,4,3,3,1,45.00%
[3,2,1,1,4,2,4,4,3,3,3,2,2,4,2,4,3,4,3,30.00%
[1,2,1,1,1,2,3,4,3,3,3,2,2,2,2,4,3,1,3,35.00%
[3,4,1,1,1,2,3,2,3,3,3,1,1,1,2,4,3,1,3,35.00%
[4,3,1,1,3,2,3,2,3,3,3,1,4,2,2,4,3,1,2,30.00%
[3,3,1,1,2,3,2,2,3,3,4,2,4,2,4,4,2,3,2,25.00%
[1,1,2,2,3,2,3,2,3,3,3,2,4,2,4,4,3,3,4,40.00%
[3,3,1,1,3,2,3,2,3,3,3,2,1,4,2,4,3,4,3,35.00%
[3,2,3,3,4,2,3,2,3,3,3,4,4,4,2,4,3,4,4,35.00%
[1,2,3,1,2,3,4,4,3,1,3,2,3,3,2,4,3,3,4,40.00%
[1,4,3,3,2,2,3,2,3,2,2,1,4,2,2,4,2,4,3,30.00%
[1,2,1,1,1,2,3,2,3,3,3,4,4,3,2,4,3,1,1,45.00%
[1,3,3,3,1,2,3,2,3,3,3,2,3,2,3,2,3,3,3,35.00%
[1,4,1,1,1,2,3,2,3,3,3,2,3,2,2,3,4,3,1,45.00%
[1,1,1,1,1,2,3,4,3,3,3,4,4,4,2,4,3,1,3,45.00%
[3,2,2,2,2,3,3,2,3,2,2,3,3,3,3,2,2,3,2,30.00%
[3,4,1,1,1,2,3,2,3,3,3,4,3,2,2,4,3,1,3,40.00%
[1,1,1,1,1,2,3,2,3,3,3,4,2,4,2,4,3,2,4,55.00%
[3,4,1,1,1,2,3,2,3,3,3,4,4,4,2,4,3,3,4,45.00%
[1,4,1,1,4,2,2,4,3,3,3,2,4,3,2,4,3,1,4,50.00%
[4,2,1,1,1,2,1,2,3,3,3,2,1,2,2,4,3,1,3,35.00%
[1,2,1,1,1,2,2,2,3,3,3,4,4,4,2,4,3,4,3,50.00%
[3,3,2,2,3,2,3,2,3,3,3,2,1,1,2,1,2,4,3,20.00%
[1,3,1,1,1,2,3,2,3,3,3,2,1,2,2,4,3,1,4,50.00%
[3,1,1,1,1,2,3,2,3,3,3,4,4,4,2,4,3,4,3,45.00%
[3,1,1,1,1,2,3,4,3,3,3,4,2,2,1,4,3,2,3,35.00%
[1,1,1,1,1,2,3,2,3,3,3,4,2,2,2,4,3,3,3,45.00%
[1,1,1,1,1,2,3,2,3,3,3,2,2,2,4,3,4,3,3,50.00%
[1,2,1,1,1,2,3,2,3,3,3,2,4,2,3,4,3,1,1,45.00%
[1,1,3,3,1,2,3,2,3,3,3,2,4,2,4,2,3,1,3,30.00%
[1,4,1,1,1,2,3,2,3,3,3,4,4,4,2,4,3,1,3,40.00%
[3,2,1,1,2,2,3,2,3,3,3,2,2,2,2,3,3,4,4,40.00%
[1,2,1,1,1,2,3,2,3,3,3,2,2,2,2,3,4,3,4,50.00%
[1,2,1,1,1,3,3,2,3,3,3,2,2,2,4,2,4,3,4,45.00%
[1,3,1,1,1,2,3,2,3,3,3,4,3,4,2,4,3,3,3,45.00%
[1,3,1,1,1,2,3,2,3,3,3,3,2,2,3,4,3,3,4,60.00%
[2,3,4,2,1,2,3,2,3,3,3,4,1,1,2,4,3,1,3,25.00%
[1,2,1,1,1,2,3,2,3,3,3,4,4,2,4,4,3,1,3,40.00%
[1,4,1,1,1,2,3,2,3,3,3,4,3,4,2,4,3,4,3,50.00%
[1,2,1,1,1,2,3,2,3,3,3,4,1,3,2,4,3,1,3,45.00%
[1,3,1,1,4,2,3,2,3,3,3,1,4,2,2,4,3,4,3,40.00%
[3,2,1,1,4,2,3,2,3,3,3,2,1,2,1,4,3,3,4,40.00%
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2010.00%
